# X   ANN_y   Exact_y   ANN_dy   Exact_dy   ANN_d2y   Exact_d2y   ANN_Integral   Exact_Integral
0.498328 0.0616859 0.0616865 -3.9509 -3.94978 6.14368 6.14632 0.111507 0.111499
0.505017 0.0354016 0.0354097 -3.90727 -3.90614 6.8975 6.89847 0.111832 0.111823
0.511706 0.00942583 0.00944153 -3.85867 -3.85753 7.63163 7.63088 0.111982 0.111973
0.518395 -0.0162086 -0.0161853 -3.80522 -3.8041 8.34501 8.3425 0.111959 0.11195
0.525084 -0.0414697 -0.041439 -3.74708 -3.74598 9.03664 9.03236 0.111766 0.111757
0.531773 -0.0663266 -0.0662886 -3.68438 -3.68332 9.70558 9.69952 0.111405 0.111397
0.538462 -0.0907493 -0.0907043 -3.61729 -3.61627 10.3509 10.3431 0.110879 0.110872
0.545151 -0.114709 -0.114657 -3.54596 -3.545 10.9718 10.9623 0.110192 0.110184
0.551839 -0.138178 -0.13812 -3.47057 -3.46967 11.5675 11.5563 0.109346 0.109339
0.558528 -0.161129 -0.161066 -3.39127 -3.39046 12.1373 12.1244 0.108344 0.108338
0.565217 -0.183538 -0.183469 -3.30825 -3.30753 12.6804 12.666 0.107191 0.107185
0.571906 -0.205379 -0.205306 -3.2217 -3.22107 13.1962 13.1805 0.10589 0.105885
0.578595 -0.22663 -0.226553 -3.13178 -3.13127 13.6843 13.6672 0.104445 0.10444
0.585284 -0.247269 -0.247189 -3.03869 -3.0383 14.144 14.1259 0.10286 0.102855
0.591973 -0.267275 -0.267192 -2.94262 -2.94236 14.575 14.5559 0.101139 0.101135
0.598662 -0.286629 -0.286545 -2.84377 -2.84363 14.9769 14.957 0.0992857 0.0992822
0.605351 -0.305313 -0.305229 -2.74233 -2.74233 15.3494 15.3289 0.0973056 0.0973027
0.61204 -0.32331 -0.323226 -2.6385 -2.63863 15.6921 15.6712 0.0952028 0.0952004
0.618729 -0.340605 -0.340523 -2.53247 -2.53275 16.005 15.9839 0.0929819 0.0929801
0.625418 -0.357185 -0.357105 -2.42445 -2.42487 16.2878 16.2668 0.0906478 0.0906465
0.632107 -0.373035 -0.372959 -2.31464 -2.3152 16.5405 16.5198 0.0882052 0.0882045
0.638796 -0.388146 -0.388074 -2.20324 -2.20393 16.7631 16.7429 0.085659 0.0856588
0.645485 -0.402507 -0.40244 -2.09045 -2.09128 16.9556 16.9361 0.0830143 0.0830145
0.652174 -0.416109 -0.416048 -1.97647 -1.97743 17.1181 17.0996 0.080276 0.0802767
